Frequency (Hz)	Level (dB)
12093.750000	-71.296593
12187.500000	-74.978493
12281.250000	-74.038628
12375.000000	-69.989052
12468.750000	-66.823441
12562.500000	-64.587914
12656.250000	-62.996300
12750.000000	-61.909931
12843.750000	-61.256618
12937.500000	-60.985695
13031.250000	-61.080315
13125.000000	-61.554317
13218.750000	-62.435543
13312.500000	-63.798275
13406.250000	-65.822540
13500.000000	-68.700920
13593.750000	-72.254356
13687.500000	-73.570602
13781.250000	-70.516449
13875.000000	-67.307846
13968.750000	-65.008514
14062.500000	-63.444714
14156.250000	-62.415588
14250.000000	-61.837410
14343.750000	-61.676689
14437.500000	-61.894238
14531.250000	-62.490189
14625.000000	-63.501896
14718.750000	-65.008614
14812.500000	-67.208298
14906.250000	-70.551369
15000.000000	-76.349419
15093.750000	-96.301956
15187.500000	-78.160873
15281.250000	-72.375237
15375.000000	-69.418007
15468.750000	-67.723167
15562.500000	-66.806114
15656.250000	-66.434479
15750.000000	-66.532555
15843.750000	-67.053017
15937.500000	-68.022774
16031.250000	-69.543289
16125.000000	-71.646904
16218.750000	-74.301369
16312.500000	-76.937370
16406.250000	-77.479561
16500.000000	-75.738937
16593.750000	-73.822113
16687.500000	-72.477409
16781.250000	-71.745346
16875.000000	-71.532021
16968.750000	-71.802559
17062.500000	-72.606323
17156.250000	-74.013412
17250.000000	-76.238533
17343.750000	-79.817169
17437.500000	-86.132042
17531.250000	-93.580200
17625.000000	-85.000015
17718.750000	-80.719437
17812.500000	-78.532372
17906.250000	-77.380928
18000.000000	-76.959549
18093.750000	-77.164268
18187.500000	-77.861839
18281.250000	-78.926735
18375.000000	-80.378174
18468.750000	-82.394112
18562.500000	-84.887451
18656.250000	-86.531120
18750.000000	-85.996597
18843.750000	-84.843384
18937.500000	-84.288414
19031.250000	-84.237480
19125.000000	-84.296860
19218.750000	-83.674751
19312.500000	-82.137779
19406.250000	-80.409912
19500.000000	-79.033463
19593.750000	-78.041954
19687.500000	-77.294113
19781.250000	-76.685875
19875.000000	-76.214638
19968.750000	-75.958420
20062.500000	-76.002693
20156.250000	-76.382027
20250.000000	-77.058784
20343.750000	-77.962196
20437.500000	-78.888023
20531.250000	-79.412628
20625.000000	-79.200539
20718.750000	-78.413879
20812.500000	-77.461418
20906.250000	-76.599037
21000.000000	-75.941032
21093.750000	-75.520775
21187.500000	-75.344070
21281.250000	-75.426018
21375.000000	-75.771103
21468.750000	-76.374794
21562.500000	-77.237953
21656.250000	-78.342537
21750.000000	-79.652458
21843.750000	-81.073914
21937.500000	-82.396172
22031.250000	-83.363083
22125.000000	-83.804985
22218.750000	-83.797501
22312.500000	-83.581146
22406.250000	-83.392776
22500.000000	-83.398537
22593.750000	-83.661018
22687.500000	-84.178078
22781.250000	-84.951462
22875.000000	-86.015015
22968.750000	-87.343422
23062.500000	-88.904839
23156.250000	-90.747078
23250.000000	-92.846771
23343.750000	-95.163567
23437.500000	-97.560844
23531.250000	-99.640678
23625.000000	-101.139107
23718.750000	-102.302788
23812.500000	-103.369858
23906.250000	-104.498993
24000.000000	-106.028488
24093.750000	-108.209625
24187.500000	-111.001587
24281.250000	-114.332504
24375.000000	-117.498917
24468.750000	-119.444832
24562.500000	-121.210602
24656.250000	-119.612564
24750.000000	-118.314972
24843.750000	-118.047165
24937.500000	-118.763985
25031.250000	-119.436760
25125.000000	-119.066971
25218.750000	-118.183769
25312.500000	-118.877571
25406.250000	-118.322845
25500.000000	-116.327942
25593.750000	-114.810287
25687.500000	-113.287628
25781.250000	-112.674629
25875.000000	-113.310982
25968.750000	-113.826088
26062.500000	-113.878860
26156.250000	-114.277145
26250.000000	-114.970634
